SKU_No,Product_Name,Product_Description,Category,Subcategory,Primary_Colour_Family,Gender_Target,Style_Descriptor,Image_URL,Material_Composition,Season,Occasion_Tag,Eco_Score,Style_Reward_Points,Adword_Grouping,Stock_Status,Price_INR,Discount_Percentage,Return_Type
92,Neveah Dress,"Calf-length, A-line dress in a crêpe weave with an opening and button at the back of the neck. Short puff sleeves with narrow elastication at the hems, and gathered seams at the waist and hips for added width and soft draping. Jersey lining.",Garment Full body,Dress,Light Beige,Teen Boys,Solid,images/086/0868747001.jpg,Cotton Blend,Summer,Sports,64,50,garment_full_body,Low Stock,1199,23,7 days return
93,Family Crew Ladies,"Top in sweatshirt fabric with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem. Soft brushed inside.",Garment Upper body,Sweater,Grey,Teen Boys,All over pattern,images/068/0686265006.jpg,Cotton Blend,Spring,Sports,81,54,garment_upper_body,In Stock,2247,65,7 days return
94,Angela top,Sleeveless top in ribbed cotton jersey with an embroidered frill trim at the top and over the shoulder straps.,Garment Upper body,Top,White,Teen Boys,Solid,images/064/0646157001.jpg,Cotton Blend,Autumn,Sports,67,32,garment_upper_body,Low Stock,1479,20,7 days return
95,Tilda tapered trouser,"Trousers in woven fabric with a high waist, pleats at the top and tapered legs with creases. A zip fly and concealed hook-and-eye fasteners, side pockets and fake welt back pockets. The polyester content of the trousers is partly recycled.",Garment Lower body,Trousers,Light Beige,Teen Boys,Other structure,images/091/0913714002.jpg,Cotton Blend,Summer,Work,89,72,garment_lower_body,Out of Stock,2207,59,No return
96,5P SS T-SHIRT SOLID,T-shirts in soft organic cotton jersey with lapped shoulders and a straight hem.,Garment Upper body,T-shirt,Light Beige,Teen Girls,Solid,images/079/0795784009.jpg,Cotton Blend,Autumn,Work,50,35,garment_upper_body,In Stock,1703,0,No return
97,BB Ronaldo Fotboll set,Set with a short-sleeved football top and football shorts in fast-drying functional fabric. Top with a print motif front and back. Shorts with an elasticated drawstring waist and print motifs on the legs.,Garment Full body,Garment Set,Green,Teen Girls,Solid,images/070/0700779003.jpg,Cotton Blend,Spring,Work,73,77,garment_full_body,Out of Stock,3199,56,7 days return
98,Milano,"Fitted, turtleneck top in ribbed jersey with long raglan sleeves.",Garment Upper body,Sweater,Grey,Teen Girls,Solid,images/079/0790651002.jpg,Cotton Blend,Summer,Formal,60,61,garment_upper_body,Low Stock,2875,32,No return
99,Pluto slacks,"Ankle-length cigarette trousers in a stretch weave with a concealed hook-and-eye fastener and zip fly. Side pockets, a fake welt back pocket and slim legs with creases.",Garment Lower body,Trousers,Black,Teen Girls,All over pattern,images/061/0612182004.jpg,Cotton Blend,Spring,Casual,50,27,garment_lower_body,Low Stock,2962,45,7 days return
100,ED Lady di,"Jumper in a soft knit with a slightly wider neckline, long, wide dolman sleeves and a rounded hem with slits in the sides.",Garment Upper body,Sweater,Black,Teen Girls,Solid,images/055/0551566002.jpg,Cotton Blend,Summer,Work,56,58,garment_upper_body,In Stock,1931,13,No return
101,BORABORA,Off-the-shoulder blouse in a patterned crêpe weave with smocking and a small frill trim at the top and 3/4-length trumpet sleeves. Seam and a wide flounce at the hem.,Garment Upper body,Blouse,White,Teen Girls,All over pattern,images/078/0786906002.jpg,Cotton Blend,Summer,Party,61,28,garment_upper_body,Low Stock,3202,47,7 days return
102,Price TEE - TVP,"Round-necked T-shirt in soft, printed cotton jersey.",Garment Upper body,T-shirt,White,Teen Girls,Placement print,images/087/0874122005.jpg,Cotton Blend,Autumn,Party,96,36,garment_upper_body,Low Stock,3312,16,7 days return
103,Zebra sweat - TVP,"Top in sweatshirt fabric made from a cotton blend. Wide, raglan sleeves and ribbing at the cuffs and hem.",Garment Upper body,Sweater,Black,Teen Girls,Placement print,images/087/0874113019.jpg,Cotton Blend,Autumn,Party,93,38,garment_upper_body,Low Stock,3027,64,15 days return
104,CS Sauron jumpsuit,"Jersey jumpsuit with shimmering metallic stripes. V-neck front and back, narrow adjustable shoulder straps, seam at the waist with a drawstring and wide flounce, side pockets and tapered legs. Lined at the top.",Garment Lower body,Trousers,Light Grey,Teen Girls,Metallic,images/058/0587264001.jpg,Cotton Blend,Spring,Casual,96,79,garment_lower_body,Low Stock,4606,22,7 days return
105,LARISSA hood,"Jacket in lightweight sweatshirt fabric with a hood, zip down the front, side pockets and ribbing at the cuffs and hem.",Garment Upper body,Hoodie,Grey,Teen Girls,All over pattern,images/048/0487750038.jpg,Cotton Blend,Spring,Casual,58,76,garment_upper_body,Out of Stock,4255,57,No return
106,Jasmine dress SPECIAL OCC,"Long dress in embroidered mesh with an opening and button at the back of the neck, short sleeves and an elasticated seam at the waist. Satin inner dress.",Garment Full body,Dress,Light Beige,Teen Girls,Embroidery,images/061/0613127001.jpg,Cotton Blend,Winter,Party,66,63,garment_full_body,Out of Stock,1013,10,7 days return
107,Flock,"Slightly shorter jumper in a soft, fine knit with long sleeves and ribbing around the neckline, cuffs and hem.",Garment Upper body,Sweater,Dark Blue,Teen Girls,Melange,images/059/0591334029.jpg,Cotton Blend,Winter,Casual,86,75,garment_upper_body,In Stock,3394,50,7 days return
108,Johnny cashmere jumper,"Oversized jumper in soft, fine-knit cashmere with a V-neck front and back. Dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem.",Garment Upper body,Sweater,Yellowish Brown,Teen Girls,Solid,images/068/0682285002.jpg,Cotton Blend,Autumn,Casual,76,71,garment_upper_body,Low Stock,2055,68,No return
109,CHARLIE SKIRT,"Short, A-line skirt with a high waist and buttons down the front.",Garment Lower body,Skirt,Beige,Teen Girls,Check,images/067/0674606021.jpg,Cotton Blend,Autumn,Formal,67,89,garment_lower_body,Low Stock,524,49,No return
110,Lana Seamless Hotpant,"Shorts in fast-drying functional fabric with a high waist and wide, elasticated ribbing at the waist. The shorts are designed with the minimum number of seams for a more comfortable fit and increased mobility.",Garment Lower body,Shorts,Black,Teen Girls,Solid,images/091/0911405002.jpg,Cotton Blend,Winter,Party,69,88,garment_lower_body,Low Stock,2413,9,7 days return
111,Super Skinny L.W Epic,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs.",Garment Lower body,Trousers,Light Blue,Teen Girls,Denim,images/039/0399087017.jpg,Cotton Blend,Autumn,Formal,70,75,garment_lower_body,Low Stock,3558,18,15 days return
112,R-NECK SS BASIC 5 PK,Round-necked T-shirts in soft organic cotton jersey. Regular Fit.,Garment Upper body,T-shirt,Black,Teen Girls,Solid,images/064/0649082001.jpg,Cotton Blend,Autumn,Party,79,79,garment_upper_body,In Stock,946,47,7 days return
113,KIDS KIKKI woven bib dress,"KIDS EXCLUSIVE. Dress in textured, double-weave organic cotton with adjustable straps that have a decorative knot at the front, cross at the back and fasten with a button. Seam at the waist with elastication at the back. Unlined.",Garment Full body,Dress,Dark Orange,Teen Girls,Solid,images/085/0859223001.jpg,Cotton Blend,Autumn,Formal,84,85,garment_full_body,Low Stock,3931,21,15 days return
114,SKINNY HEART / NEW OPEN,"Slim-fit jeans in washed, superstretch, flexible denim for maximum mobility. Adjustable, elasticated waist, zip fly and button, heart-shaped front pockets, regular back pockets and narrow hems.",Garment Lower body,Trousers,Dark Blue,Teen Girls,Denim,images/068/0683281001.jpg,Cotton Blend,Summer,Sports,97,48,garment_lower_body,In Stock,3915,22,15 days return
115,SB Cape Own,Fancy dress cape in jersey with a concealed hook and loop fastening at the neck. Unlined.,Garment Full body,Costumes,Black,Teen Girls,Solid,images/051/0519219006.jpg,Cotton Blend,Spring,Sports,79,84,garment_full_body,Out of Stock,4106,13,15 days return
116,Samurai singoalla top,"Wide top in a soft weave with a wide neckline with narrow elastication at the top and long, flared sleeves with smock details.",Garment Upper body,Blouse,Light Blue,Kids (Unisex),Chambray,images/059/0597753003.jpg,Cotton Blend,Autumn,Work,88,56,garment_upper_body,In Stock,675,64,No return
117,Celine dress,"Lace dress with a boat neck, cap sleeves, zip at the back and seam at the waist with a velvet trim and decorative bow. Jersey lining.",Garment Full body,Dress,Light Yellow,Kids (Unisex),Lace,images/071/0717316001.jpg,Cotton Blend,Spring,Party,58,90,garment_full_body,In Stock,942,46,15 days return
118,Fleur LL PJ (J),"Pyjamas in a printed cotton blend. Short-sleeved top with a round neck. Bottoms with an elasticated waist and wide, tapered legs with ribbed hems.",Nightwear,Pyjama set,Light Pink,Kids (Unisex),Front print,images/077/0778745004.jpg,Cotton Blend,Summer,Formal,68,90,nightwear,In Stock,1623,44,No return
119,Lenny Romper Set,"Set with dungarees and a long-sleeved top in soft cotton. Jersey-lined dungarees with an embroidered motif on the front, and elastication at the back of the waist. Adjustable straps that fasten at the front with frills on the shoulder sections, and sewn-in turn-ups at the hems. Top with a press-stud on one shoulder.",Garment Full body,Jumpsuit/Playsuit,Dark Blue,Kids (Unisex),Embroidery,images/068/0680351001.jpg,Cotton Blend,Spring,Formal,53,73,garment_full_body,In Stock,4474,58,7 days return
120,Sanna tee dress,"Short, straight-cut dress in soft cotton jersey with ribbing around the neckline, dropped shoulders and short sleeves. Unlined.",Garment Full body,Dress,Pink,Kids (Unisex),Solid,images/082/0826164007.jpg,Cotton Blend,Autumn,Sports,52,47,garment_full_body,In Stock,4341,64,15 days return
121,Hedda Dress,"Fitted, sleeveless, knee-length dress in jersey crêpe with a low-cut back, narrow cut at the top and spaghetti shoulder straps that cross at the back. Skirt with a flounce at the hem. Sewn-in inner dress.",Garment Full body,Dress,Light Beige,Kids (Unisex),Solid,images/073/0735064002.jpg,Cotton Blend,Spring,Casual,56,81,garment_full_body,In Stock,2481,29,7 days return
122,Julienne SS tee,"T-shirt in soft, ribbed jersey with a narrow trim around the neckline and overlocked edges.",Garment Upper body,T-shirt,Black,Kids (Unisex),Embroidery,images/087/0875836007.jpg,Cotton Blend,Spring,Formal,94,16,garment_upper_body,Out of Stock,3862,32,15 days return
123,Texas linen,"Shirt in airy linen with a turn-down collar, buttons down the front and a yoke with a pleat at the back. Open chest pocket, long sleeves with adjustable buttoning at the cuffs, and a rounded hem. Slightly longer at the back.",Garment Upper body,Shirt,White,Kids (Unisex),Solid,images/085/0859139001.jpg,Cotton Blend,Spring,Party,81,93,garment_upper_body,Low Stock,1801,45,15 days return
124,PE CORRES T-SHIRT,"T-shirt in soft, airy jersey made from a silk and cotton blend with a round neck and straight hem.",Garment Upper body,Top,White,Kids (Unisex),Solid,images/073/0738418001.jpg,Cotton Blend,Spring,Party,61,54,garment_upper_body,Low Stock,913,1,No return
125,Chapman Hood,"Top in printed sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbed sections at the sides. Gently dropped shoulders, long sleeves, and ribbing at the cuffs and hem. Soft brushed inside.",Garment Upper body,Hoodie,Dark Green,Kids (Unisex),Front print,images/057/0574148002.jpg,Cotton Blend,Summer,Casual,52,96,garment_upper_body,Low Stock,1486,61,7 days return
126,Almost famous,Off-the-shoulder playsuit in a Tencel™ lyocell weave with elastication at the top and 3/4-length raglan sleeves with ties. Elasticated seam at the waist and side pockets.,Garment Lower body,Trousers,Black,Kids (Unisex),Solid,images/065/0656519001.jpg,Cotton Blend,Winter,Casual,89,19,garment_lower_body,In Stock,2134,4,15 days return
127,Vermont fancy,"Suit trousers in woven fabric with a zip fly and concealed hook-and-eye fastener. Side pockets, fake welt pockets at the back and tapered legs with creases.",Garment Lower body,Trousers,Grey,Kids (Unisex),Solid,images/045/0459144008.jpg,Cotton Blend,Spring,Casual,97,47,garment_lower_body,In Stock,4543,12,No return
128,The one dress,"Long, sleeveless satin dress with a V-neck, narrow shoulder straps that cross at the back and a long slit in one side. Partly lined.",Garment Full body,Dress,Dark Pink,Kids (Unisex),Solid,images/063/0637998001.jpg,Cotton Blend,Winter,Casual,81,27,garment_full_body,Out of Stock,911,39,7 days return
129,becca tee,"T-shirt in soft viscose jersey with a print motif on the front, gathers at the shoulders and ribbing in a contrasting colour around the neckline.",Garment Upper body,T-shirt,Off White,Kids (Unisex),All over pattern,images/060/0607390004.jpg,Cotton Blend,Winter,Party,77,94,garment_upper_body,Out of Stock,954,62,No return
130,Bobbie pile hood,"Hoodie in soft pile with appliqués on the hood. Dropped shoulders, long sleeves, a kangaroo pocket and ribbing at the cuffs and hem.",Garment Upper body,Sweater,Black,Kids (Unisex),Application/3D,images/086/0866665002.jpg,Cotton Blend,Summer,Work,73,32,garment_upper_body,Low Stock,743,42,7 days return
131,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,Dark Blue,Accessories (Unisex),All over pattern,images/065/0657719002.jpg,Cotton Blend,Autumn,Sports,58,56,underwear/nightwear,Out of Stock,2087,68,7 days return
132,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,Light Pink,Accessories (Unisex),All over pattern,images/081/0810737010.jpg,Cotton Blend,Summer,Formal,81,16,underwear/nightwear,In Stock,3100,33,15 days return
133,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,White,Accessories (Unisex),All over pattern,images/081/0810737009.jpg,Cotton Blend,Summer,Formal,67,51,underwear/nightwear,In Stock,1493,28,No return
134,Sleep bag fleece,Sleep bag in patterned fleece with a press-stud on one shoulder and a concealed zip in one side that opens from the bottom. Jersey lining. The sleep bag is designed for indoor use only.,Underwear/nightwear,Sleeping sack,Dark Blue,Accessories (Unisex),All over pattern,images/055/0557585002.jpg,Cotton Blend,Autumn,Casual,63,31,underwear/nightwear,Low Stock,2289,12,No return
135,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,Grey,Accessories (Unisex),All over pattern,images/081/0810737003.jpg,Cotton Blend,Winter,Casual,73,55,underwear/nightwear,Low Stock,4392,3,7 days return
136,Sleep bag velour,"Lightly padded sleep bag in soft velour with embroidery at the top, a press-stud on one shoulder and concealed zip in one side that opens from the bottom. Jersey lining. For indoor use only.",Underwear/nightwear,Sleeping sack,Dark Blue,Accessories (Unisex),Application/3D,images/042/0425529003.jpg,Cotton Blend,Summer,Sports,72,56,underwear/nightwear,Out of Stock,3023,7,7 days return
137,Honey Bag NB,"Padded footmuff in woven fabric with a hood with narrow elastication around the edge, and concealed zips down the front. Fleece lining. Size 87x104 cm. 2-3.5 Tog.",Underwear/nightwear,Sleeping sack,Light Orange,Accessories (Unisex),All over pattern,images/065/0657328002.jpg,Cotton Blend,Autumn,Formal,81,15,underwear/nightwear,Low Stock,2913,52,No return
138,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,Light Turquoise,Accessories (Unisex),All over pattern,images/081/0810737014.jpg,Cotton Blend,Winter,Casual,58,18,underwear/nightwear,Out of Stock,4166,0,No return
139,Sleep bag padded,"Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleep Bag,Dark Blue,Accessories (Unisex),All over pattern,images/017/0176550020.jpg,Cotton Blend,Spring,Casual,67,89,underwear/nightwear,Low Stock,4272,17,No return
140,Sleepbag Padded,"Padded sleep bag in soft, patterned cotton jersey with a press-stud on one shoulder and zip at one side. Jersey lining. The sleep bag is designed for indoor use only.",Underwear/nightwear,Sleeping sack,White,Accessories (Unisex),All over pattern,images/065/0657719015.jpg,Cotton Blend,Winter,Formal,74,67,underwear/nightwear,In Stock,1399,45,15 days return
